,open_usdt,high_usdt,low_usdt,close_usdt,volume_usdt,open_usd,high_usd,low_usd,close_usd,volume_usd
2023-03-01 00:00:00+00:00,23141.57,23154.7,23130.25,23143.73,326.95876,23144.37,23153.68,23134.31,23146.93,7.24789927
2023-03-01 00:01:00+00:00,23144.05,23153.45,23139.15,23139.15,148.65724,23146.77,23151.16,23142.51,23143.43,4.98869613
2023-03-01 00:02:00+00:00,23139.15,23160.0,23138.54,23157.0,215.47031,23143.67,23161.56,23143.0,23159.67,6.6070882
2023-03-01 00:03:00+00:00,23156.61,23162.16,23153.85,23158.53,136.95526,23159.67,23164.99,23158.51,23162.14,2.64326907
2023-03-01 00:04:00+00:00,23158.53,23178.71,23158.14,23178.71,162.61621,23162.15,23180.46,23162.15,23180.0,4.74295531
2023-03-01 00:05:00+00:00,23178.03,23183.13,23168.44,23172.93,154.56927,23180.01,23183.42,23172.87,23176.12,10.80989798
2023-03-01 00:06:00+00:00,23171.91,23174.14,23150.04,23152.32,183.21377,23175.57,23176.05,23156.37,23156.73,1.11513336
2023-03-01 00:07:00+00:00,23153.05,23154.0,23134.26,23134.26,132.6972,23156.72,23156.74,23139.86,23139.87,2.33758041
2023-03-01 00:08:00+00:00,23134.26,23153.75,23134.26,23139.31,156.43859,23139.87,23156.33,23139.86,23144.4,4.01425281
2023-03-01 00:09:00+00:00,23140.08,23142.98,23118.56,23120.06,199.83734,23144.4,23144.4,23124.01,23125.01,7.00258879
2023-03-01 00:10:00+00:00,23120.06,23134.85,23116.07,23123.5,228.72019,23125.01,23139.31,23123.21,23128.19,5.93689405
2023-03-01 00:11:00+00:00,23123.5,23134.59,23116.47,23133.5,146.83461,23128.2,23138.24,23118.58,23138.24,4.18274198
2023-03-01 00:12:00+00:00,23133.5,23164.28,23133.16,23159.56,186.3486,23138.01,23167.26,23138.01,23164.01,1.61851963
2023-03-01 00:13:00+00:00,23159.56,23171.67,23155.02,23162.62,177.44187,23164.01,23172.27,23161.33,23169.01,3.36140235
2023-03-01 00:14:00+00:00,23163.6,23167.64,23153.21,23159.91,119.59265,23169.0,23169.01,23156.22,23163.47,3.20901903
2023-03-01 00:15:00+00:00,23160.83,23175.7,23159.17,23163.97,178.70972,23164.6,23177.59,23164.22,23166.19,7.49788285
2023-03-01 00:16:00+00:00,23164.85,23173.79,23158.02,23171.5,166.05724,23167.75,23173.69,23161.47,23172.51,3.95073289
2023-03-01 00:17:00+00:00,23172.53,23183.15,23170.79,23178.88,180.43921,23174.99,23185.93,23174.31,23181.46,2.51990989
2023-03-01 00:18:00+00:00,23178.88,23179.79,23169.18,23178.29,92.1202,23179.8,23181.49,23171.67,23180.55,1.85582991
2023-03-01 00:19:00+00:00,23178.29,23185.64,23176.06,23183.94,88.42285,23180.55,23187.62,23178.94,23187.5,1.62408984
2023-03-01 00:20:00+00:00,23183.94,23186.5,23172.16,23186.39,140.85399,23187.47,23188.24,23175.65,23188.04,10.18030564
2023-03-01 00:21:00+00:00,23186.45,23197.7,23183.83,23195.79,138.10685,23188.25,23198.15,23188.09,23198.15,2.18024139
2023-03-01 00:22:00+00:00,23194.91,23219.99,23194.35,23198.48,318.39924,23198.15,23221.87,23198.13,23200.68,23.45302592
2023-03-01 00:23:00+00:00,23198.48,23202.0,23187.28,23188.16,161.81705,23200.06,23202.98,23190.95,23190.99,1.6510608
2023-03-01 00:24:00+00:00,23187.91,23212.93,23186.35,23201.88,174.94418,23190.98,23214.88,23189.53,23207.29,16.37122238
2023-03-01 00:25:00+00:00,23201.88,23208.44,23182.88,23184.3,171.48852,23207.01,23209.59,23189.01,23189.01,2.69475235
2023-03-01 00:26:00+00:00,23184.3,23204.09,23184.09,23194.33,126.07483,23189.01,23206.96,23189.01,23199.9,8.65551352
2023-03-01 00:27:00+00:00,23194.33,23197.84,23185.5,23190.87,151.08114,23199.12,23200.54,23191.0,23194.18,3.60344457
2023-03-01 00:28:00+00:00,23190.32,23191.66,23177.04,23178.05,82.24172,23194.17,23194.42,23181.38,23181.48,4.0290601
2023-03-01 00:29:00+00:00,23178.6,23186.56,23165.6,23170.13,156.60399,23181.76,23185.59,23170.19,23175.01,1.92775032
2023-03-01 00:30:00+00:00,23170.13,23185.05,23166.68,23183.75,161.27817,23175.2,23186.74,23168.98,23186.74,16.10458149
2023-03-01 00:31:00+00:00,23182.95,23197.11,23180.0,23192.95,127.26306,23186.63,23199.3,23184.01,23196.54,3.87240949
2023-03-01 00:32:00+00:00,23191.98,23217.13,23188.28,23199.66,285.37485,23196.03,23219.56,23195.0,23203.33,7.22774162
2023-03-01 00:33:00+00:00,23199.04,23213.73,23197.52,23200.05,142.54798,23203.33,23216.22,23203.33,23204.16,2.48077338
2023-03-01 00:34:00+00:00,23198.97,23201.85,23191.81,23198.48,67.65544,23204.06,23204.78,23195.67,23203.25,2.25633814
2023-03-01 00:35:00+00:00,23199.21,23207.1,23191.88,23195.09,120.82569,23202.49,23209.2,23196.01,23197.84,2.7737318
2023-03-01 00:36:00+00:00,23195.46,23199.02,23178.33,23184.27,136.73925,23197.83,23201.2,23181.94,23188.44,4.35650968
2023-03-01 00:37:00+00:00,23184.27,23197.49,23178.28,23191.86,168.17714,23188.33,23199.95,23183.52,23196.26,5.14381689
2023-03-01 00:38:00+00:00,23192.22,23200.0,23191.01,23196.0,76.57891,23196.31,23203.88,23194.82,23200.72,1.61949891
2023-03-01 00:39:00+00:00,23195.28,23196.58,23179.67,23186.96,116.245,23200.01,23200.39,23183.96,23191.33,1.42346973
2023-03-01 00:40:00+00:00,23186.96,23188.39,23176.87,23180.63,121.113,23191.0,23191.01,23182.17,23184.4,2.71662662
2023-03-01 00:41:00+00:00,23180.0,23182.03,23175.61,23177.35,55.82177,23183.65,23184.84,23180.38,23182.01,0.70627908
2023-03-01 00:42:00+00:00,23177.35,23194.86,23176.38,23190.83,120.47402,23182.01,23196.1,23182.01,23196.02,3.55928769
2023-03-01 00:43:00+00:00,23190.83,23192.92,23151.33,23154.81,280.90739,23195.59,23196.83,23158.17,23158.17,9.32015089
2023-03-01 00:44:00+00:00,23155.51,23158.94,23140.5,23145.49,323.89116,23158.0,23163.39,23145.0,23147.65,12.67133283
2023-03-01 00:45:00+00:00,23146.08,23146.88,23133.09,23145.26,183.94497,23149.44,23151.28,23137.8,23149.13,6.88952922
2023-03-01 00:46:00+00:00,23145.26,23149.35,23132.66,23136.14,152.46007,23150.12,23151.35,23137.13,23139.98,4.744425
2023-03-01 00:47:00+00:00,23136.14,23141.0,23125.0,23128.04,210.49197,23139.97,23144.34,23129.33,23133.01,3.83565529
2023-03-01 00:48:00+00:00,23128.1,23129.75,23112.0,23117.4,234.96401,23133.0,23133.0,23118.0,23122.63,2.44110287
2023-03-01 00:49:00+00:00,23117.4,23121.29,23088.0,23091.08,362.57308,23123.71,23124.74,23092.02,23094.4,20.71210735
2023-03-01 00:50:00+00:00,23091.08,23097.92,23050.01,23062.3,517.93866,23094.43,23100.81,23056.69,23068.04,8.49110944
2023-03-01 00:51:00+00:00,23062.3,23089.41,23054.41,23054.56,356.33039,23065.04,23093.51,23059.53,23061.57,12.17876443
2023-03-01 00:52:00+00:00,23055.78,23067.9,23043.73,23059.57,492.29059,23059.0,23071.49,23050.04,23064.26,10.95405374
2023-03-01 00:53:00+00:00,23058.88,23071.37,23023.0,23037.79,682.80338,23065.33,23074.77,23026.92,23041.67,34.83938271
2023-03-01 00:54:00+00:00,23037.79,23051.88,23026.31,23027.84,381.52071,23041.68,23055.59,23032.21,23032.21,6.5081892
2023-03-01 00:55:00+00:00,23028.77,23046.43,23020.03,23033.71,423.0615,23032.22,23048.01,23025.17,23039.91,12.55897443
2023-03-01 00:56:00+00:00,23033.71,23063.36,23026.7,23063.12,339.31,23036.24,23066.82,23030.67,23066.82,10.50771844
2023-03-01 00:57:00+00:00,23062.43,23108.93,23057.44,23104.36,539.90117,23066.82,23110.32,23064.0,23105.73,18.9706913
2023-03-01 00:58:00+00:00,23104.36,23114.69,23084.0,23091.78,369.30323,23107.08,23116.37,23086.29,23098.0,9.89264986
2023-03-01 00:59:00+00:00,23092.57,23103.85,23083.94,23101.0,181.45002,23097.01,23106.12,23085.04,23103.31,6.13003334
2023-03-01 01:00:00+00:00,23101.0,23103.0,23076.11,23076.17,407.99717,23103.3,23105.6,23077.0,23079.73,8.44272514
2023-03-01 01:01:00+00:00,23077.44,23118.24,23075.14,23114.5,430.06461,23079.03,23122.26,23079.0,23118.32,6.51488523
2023-03-01 01:02:00+00:00,23113.62,23121.3,23107.24,23114.2,211.09792,23116.31,23124.23,23113.0,23119.25,1.03249539
2023-03-01 01:03:00+00:00,23114.2,23121.4,23100.21,23118.87,224.48119,23117.31,23123.53,23105.0,23121.68,8.37022334
2023-03-01 01:04:00+00:00,23118.28,23120.65,23104.45,23110.67,128.23214,23121.87,23122.01,23107.89,23113.01,2.91630397
2023-03-01 01:05:00+00:00,23110.67,23118.5,23094.27,23116.35,140.40542,23113.0,23122.01,23098.4,23122.01,7.96987651
2023-03-01 01:06:00+00:00,23117.24,23119.73,23112.25,23118.71,90.62623,23121.32,23122.78,23116.26,23120.51,1.89384779
2023-03-01 01:07:00+00:00,23117.94,23137.0,23117.0,23133.06,205.19798,23120.99,23141.07,23120.99,23139.72,5.89315181
2023-03-01 01:08:00+00:00,23132.62,23139.2,23125.04,23128.39,165.0289,23138.02,23141.71,23129.51,23131.38,2.20525099
2023-03-01 01:09:00+00:00,23129.12,23131.02,23111.9,23115.04,153.37111,23131.44,23132.8,23115.55,23118.07,2.02120918
